記事slug	記事タイトル	KW	順位	商品名	価格	レビュー平均	レビュー件数	画像URL	商品URL	ショップ名	類似フラグ	採用フラグ
day-camp-tent	デイキャンプテント4選｜初心者向けおすすめ商品【2026年版】	デイキャンプ テント	2	春夏 ワンタッチテント 2〜4人用 フルクローズ テント 200×320cm デイキャンプ UPF50+ UVカット ポップアップテント ビーチテント サンシェード キャンプ コンパクト 軽量 アウトドア キャンプ 日よけ おしゃれ 無地 シンプル 簡易テント ファミリー	3980	4.67	6	https://thumbnail.image.rakuten.co.jp/@0_mall/afternoone/cabinet/outdoor/tnt/main-an-2.jpg	https://hb.afl.rakuten.co.jp/hgc/g00uh0en.20yyl3aa.g00uh0en.20yymdcf/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fafternoone%2Fonetouchtent-200%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fafternoone%2Fi%2F10000123%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	after noone	⚠ 順位?と類似の可能性	FALSE
day-camp-tent	デイキャンプテント4選｜初心者向けおすすめ商品【2026年版】	デイキャンプ テント	3	ワンタッチテント ポップアップテント ピクニック テント 遮熱 遮光100% 公園 UVカット 熱中症対策 簡易テント 紫外線防止 日よけ ブラックコーティング コンパクト サンシェード 3人用 持ち運び フェス レジャー デイキャンプ 海水浴 運動会	6990	4.33	9	https://thumbnail.image.rakuten.co.jp/@0_mall/esports/cabinet/6000-207/6000000146137.jpg	https://hb.afl.rakuten.co.jp/hgc/g00pjxln.20yyldcd.g00pjxln.20yym46a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fesports%2F6000000146137%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fesports%2Fi%2F11596068%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	YOCABITO 楽天市場店		TRUE
day-camp-tent	デイキャンプテント4選｜初心者向けおすすめ商品【2026年版】	デイキャンプ テント	4	訳あり 春夏 ワンタッチテント 2m×3.2m 2人用 3人用 4人用 フルクローズ テント ワンタッチ ピクニック デイキャンプ 公園 UVカット ポップアップテント ビーチテント コンパクト 軽量 軽い アウトドア キャンプ 日よけ おしゃれ 簡易テント ファミリー 防災	3980	4.16	160	https://thumbnail.image.rakuten.co.jp/@0_mall/noone/cabinet/outdoor/tent/outlet-main-noone.jpg	https://hb.afl.rakuten.co.jp/hgc/g00qg4un.20yyldcc.g00qg4un.20yym968/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fnoone%2Fonetouchtent200%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fnoone%2Fi%2F10003139%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	Noone		FALSE
day-camp-tent	デイキャンプテント4選｜初心者向けおすすめ商品【2026年版】	デイキャンプ テント	5	＼30%OFF在庫限り／and wander ポップアップテント[UVカット 遮光 日よけ ワンタッチテント ピクニック デイキャンプ 収納バック付き アウトドア 野外フェス おうちキャンプ べランピング テント プレイヤード BBQ エアバギーコラボ POPUP TENT]	16940	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/dogcart/cabinet/product/andwander/tent_pi01.jpg	https://hb.afl.rakuten.co.jp/hgc/g00s6rjn.20yylb92.g00s6rjn.20yymb17/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fdogcart%2F000000004987405%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fdogcart%2Fi%2F10000965%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	エアバギーペット公式 楽天市場店		TRUE
day-camp-tent	デイキャンプテント4選｜初心者向けおすすめ商品【2026年版】	デイキャンプ テント	6	＼30%OFF在庫限り／and wander ポップアップテント[UVカット 遮光 日よけ ワンタッチテント ピクニック デイキャンプ 収納バック付き アウトドア 野外フェス おうちキャンプ べランピング テント プレイヤード BBQ エアバギーコラボ POPUP TENT]	16940	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/gmp/cabinet/product/andwander/000000004987405_pi01.jpg	https://hb.afl.rakuten.co.jp/hgc/g00poxnn.20yyl700.g00poxnn.20yym7b2/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fgmp%2F000000004987405%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fgmp%2Fi%2F10002792%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	エアバギー公式 楽天市場店	⚠ 順位?と類似	FALSE
day-camp-tent	デイキャンプテント4選｜初心者向けおすすめ商品【2026年版】	デイキャンプ テント	7	【最大5,000円OFF！27日1:59まで】DOD テント ポップアップテント デイキャンプ ワンタッチテント ポップアップ 組立簡単 日差しブロック UVカット加工 キャリーバッグ ペグ付属 キャンプ アウトドア マエバーン T2-073-TN タン	9020	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/veryfast/cabinet/matsusho_20/bs-1417_1.jpg	https://hb.afl.rakuten.co.jp/hgc/g00s0iin.20yyla5e.g00s0iin.20yym163/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fveryfast%2Fbs-1417%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fveryfast%2Fi%2F10004564%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	べりはやっ!楽天市場店		TRUE
day-camp-tent	デイキャンプテント4選｜初心者向けおすすめ商品【2026年版】	デイキャンプ テント	8	【訳あり】 春夏 ワンタッチテント 2〜4人用 フルクローズ テント 200×320cm デイキャンプ UPF50+ UVカット ポップアップテント ビーチテント サンシェード キャンプ コンパクト 軽量 アウトドア キャンプ 日よけ おしゃれ 柄 無地 シンプル 簡易テント	3980	4.4	10	https://thumbnail.image.rakuten.co.jp/@0_mall/afternoone/cabinet/outdoor/tnt/main-an.jpg	https://hb.afl.rakuten.co.jp/hgc/g00uh0en.20yyl3aa.g00uh0en.20yymdcf/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fafternoone%2Fonetouchtent200%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fafternoone%2Fi%2F10000011%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	after noone		FALSE
day-camp-tent	デイキャンプテント4選｜初心者向けおすすめ商品【2026年版】	デイキャンプ テント	9	【最大5,000円OFF！27日1:59まで】DOD テント 5人用 ファミリーテント デイキャンプ フライシート付き ワンタッチ構造 専用キャリーバッグ ポリエステル アウトドア キャンプ わがやのテントL T5-869-TN タン メーカー直送	36990	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/veryfast/cabinet/matsusho_12/bs-1355_1.jpg	https://hb.afl.rakuten.co.jp/hgc/g00s0iin.20yyla5e.g00s0iin.20yym163/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fveryfast%2Fbs-1355%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fveryfast%2Fi%2F10004004%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	べりはやっ!楽天市場店	⚠ 順位?と類似	FALSE
day-camp-tent	デイキャンプテント4選｜初心者向けおすすめ商品【2026年版】	デイキャンプ テント	10	【最大10,000円OFF！27日1:59まで】DOD テント ポップアップテント デイキャンプ ワンタッチテント ポップアップ 組立簡単 日差しブロック UVカット加工 キャリーバッグ ペグ付属 キャンプ アウトドア マエバーン T2-073-TN タン	9020	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/esportveryfast/cabinet/matsusho_20/bs-1417_1.jpg	https://hb.afl.rakuten.co.jp/hgc/g00sqtzn.20yyl38f.g00sqtzn.20yym498/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fesportveryfast%2Fbs-1417%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fesportveryfast%2Fi%2F10003630%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	べりはやっ!スポーツ楽天市場店		FALSE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	1	【購入特典 保冷剤付き!!】気温35度でも氷が27時間維持 ペットボトル(500ml)6本収納 ワックスドコットン ソフトクーラーボックス AOクーラーズ AOW6RT ランチクーラー 5.7L 保冷 断熱 クーラーバッグ 保冷バッグ ランチバック ゴルフ 釣り おすすめ	8800	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/plantz/cabinet/nobelty/447-aow6rt_n.jpg	https://hb.afl.rakuten.co.jp/hgc/g00qsvcn.20yyl332.g00qsvcn.20yymb3a/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fplantz%2F447-aow6rt%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fplantz%2Fi%2F10185982%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	ものうりばPlantz		TRUE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	2	【10%OFFクーポン使える】ローグ クーラーボックス 小型 18L ROGUE Ice Cooler ローグ 防災 レジャー キャンプ ピクニック 運動会 アウトドア 釣り ソロキャンプ スポーツ観戦 海水浴 ハードクーラー おしゃれ 持ち運び 断熱 保冷 カーキ キャンプギア 玄人	37400	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/716select/cabinet/09107936/rougue002.jpg	https://hb.afl.rakuten.co.jp/hgc/g00twmrn.20yyl090.g00twmrn.20yym84c/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2F716select%2Frougue002%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2F716select%2Fi%2F10000005%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	716SELECT		FALSE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	3	【ランキング1位 購入特典付き】 ソフトクーラーボックス AOクーラーズ AOW6RT ランチクーラー フック ワックスドキャンバス 5.7L 保冷 結露しない 断熱 アウトドア 釣り キャンプ クーラー バッグ 保冷 ランチバック おしゃれ 頑丈 人気 軽い 軽量 AO エーオークーラーズ	8800	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/sakai-fukui/cabinet/bw/447-aow6rt_n.jpg	https://hb.afl.rakuten.co.jp/hgc/g00rszun.20yylf15.g00rszun.20yym5aa/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fsakai-fukui%2F447-aow6rt%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fsakai-fukui%2Fi%2F10033579%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	堺の刃物屋さん こかじ		FALSE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	4	ロゴス クーラーボックス 小型 5L 保冷ボックス 小さめ 部活 ピクニック ロゴスクーラーバッグ アウトドア 釣り クーラー ボックス 5l 公園 デイキャンプ ピクニックボックス お出かけ 弁当 ドリンク ミニクーラーボックス 5リットル ホワイト ベージュ LOGOS 8167023	2200	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/2-kobeya/cabinet/logos/5/8167023-1.jpg	https://hb.afl.rakuten.co.jp/hgc/g00rxhwn.20yyl67c.g00rxhwn.20yym123/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2F2-kobeya%2F8167023%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2F2-kobeya%2Fi%2F10007116%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	ma.mart		TRUE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	5	[ディーオーディー] ウサンポクーラー（8） クーラーボックス ハード 8L 500mlペットボトル8本収納可能 軽量 ピクニック デイキャンプ	3992	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/sn-mart/cabinet/onesell068/snf52e1e14d1_0.jpg	https://hb.afl.rakuten.co.jp/hgc/g00ty83n.20yyl89b.g00ty83n.20yym916/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fsn-mart%2Fsnf52e1e14d1%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fsn-mart%2Fi%2F10088230%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	SNマート 楽天市場店		TRUE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	6	ロゴス クーラーボックス 小型 5L ピクニックボックス アウトドア 部活 ピクニック ロゴスクーラーバッグ 釣り 保冷ボックス 5l 公園 海水浴 デイキャンプ クーラー ボックス 小さめ おでかけ お弁当 小さいクーラーボックス 5リットル ホワイト ベージュ LOGOS 8167023	2200	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/kobeya-sp/cabinet/logos/5/8167023-1.jpg	https://hb.afl.rakuten.co.jp/hgc/g00qjnvn.20yylff5.g00qjnvn.20yym7bb/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkobeya-sp%2F8167023%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkobeya-sp%2Fi%2F10019239%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	KOBEYA SPORTS WEB SHOP	⚠ 順位?と類似の可能性	FALSE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	7	【−16℃の冷却力】 保冷剤 最強 強力 繰り返し使える クーラーボックス用 ハードタイプ 氷点下 アイスパック 長時間冷却 氷点下パック BBQ デイキャンプ 釣り 買い物 アウトドア レジャー スポーツ 防災 生鮮 肉 魚 夏 S M L クーラーショック COOLER SHOCK HARD STRONG	880	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/mecu/cabinet/photo/point/new01/shock-hs.jpg	https://hb.afl.rakuten.co.jp/hgc/g00svmtn.20yyl692.g00svmtn.20yymcb3/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fmecu%2Fshock-hs%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fmecu%2Fi%2F10003500%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	mecu インテリア北欧雑貨店		FALSE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	8	保冷剤 アイリスオーヤマ CKB-800 Lサイズ 10個セット ハード 800g 食材の保存に クーラーボックス用に 冷風機に 朝から夕方まで しっかり保冷できる 夏場のお弁当バッグに 食品の買い物に 毎日使う 普段使いからレジャーまで ガンガン洗える 何度も使えて便利[10個入]	2556	0	0	https://thumbnail.image.rakuten.co.jp/@0_gold/riserun/main/kdn/etc/ir-ckb800-10.jpg	https://hb.afl.rakuten.co.jp/hgc/g00s6fqn.20yylff3.g00s6fqn.20yym310/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Friserun%2Fir-ckb800-10%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Friserun%2Fi%2F10010226%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	ライズラン		FALSE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	9	スプリングセール LOGOS/ロゴス 37411001 スタンダード トートリュック クーラー XL ブラック アウトドア キャンプ ピクニック ショッピング レジャー 保冷バッグ クーラーリュック ファミリー 保冷力抜群 デイキャンプ あす楽対応 お買い物マラソン 開催	4092	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/auc-ainetshop/cabinet/outdoor/logo3/92442_008.jpg	https://hb.afl.rakuten.co.jp/hgc/g00qophn.20yylf19.g00qophn.20yym248/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fauc-ainetshop%2F92442%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fauc-ainetshop%2Fi%2F10140682%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	アイネット楽天市場店		TRUE
cooler-box-day-camp	クーラーボックスおすすめ5選｜デイキャンプ最適選【2026年版】	クーラーボックス デイキャンプ	10	【最大5,000円OFF！27日1:59まで】DOD クーラーバッグ ソフトクーラーバッグ 23Lサイズ ソフトクーラー デイキャンプ BBQ ドリンク 食材 保冷 運搬 アウトドア キャンプ ソフトくらお（23） CL2-732-TN タン	7870	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/veryfast/cabinet/07867529/bs-1233_1.jpg	https://hb.afl.rakuten.co.jp/hgc/g00s0iin.20yyla5e.g00s0iin.20yym163/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fveryfast%2Fbs-1233%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fveryfast%2Fi%2F10002668%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	べりはやっ!楽天市場店		TRUE
bushcraft-knife-beginner	ブッシュクラフトナイフ初心者向け｜失敗しない選び方【2026年版】	ブッシュクラフトナイフ	1	ユニフレーム（UNIFLAME） UFブッシュクラフトナイフ 684177	6600	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/victoria-online/cabinet/1/5600903/7620875_m.jpg	https://hb.afl.rakuten.co.jp/hgc/g00s78cn.20yyl3e3.g00s78cn.20yyma4c/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fvictoria-online%2F107620875011%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fvictoria-online%2Fi%2F18665111%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	Victoria Surf&Snow 楽天市場支店		FALSE
bushcraft-knife-beginner	ブッシュクラフトナイフ初心者向け｜失敗しない選び方【2026年版】	ブッシュクラフトナイフ	2	【ポイント最大10倍キャンペーン・要エントリー 5/23 20:00 - 5/27 01:59】ユニフレーム（UNIFLAME） UFブッシュクラフトナイフ 684177	6600	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/lbreath/cabinet/1/5600903/7620875_m.jpg	https://hb.afl.rakuten.co.jp/hgc/g00rdjon.20yyl3d7.g00rdjon.20yymd6e/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Flbreath%2F107620875011%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Flbreath%2Fi%2F31336744%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	Victoria L-Breath楽天市場支店		FALSE
bushcraft-knife-beginner	ブッシュクラフトナイフ初心者向け｜失敗しない選び方【2026年版】	ブッシュクラフトナイフ	3	ユニフレーム UF ブッシュクラフトナイフ 684177	7500	0	0	https://thumbnail.image.rakuten.co.jp/@0_mall/toppin/cabinet/u/un/uf-684177.jpg	https://hb.afl.rakuten.co.jp/hgc/g00rsktn.20yyl70c.g00rsktn.20yym9f7/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Ftoppin%2Fuf-684177%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Ftoppin%2Fi%2F10203690%2F&rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	TOPPIN		FALSE